source_file,source_url,type,status,status_code,href,resolved_url
districts\belton-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/belton-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/belton-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
districts\belton-isd\leadership-directory.html,https://www.texasspecialed.com/districts/belton-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/belton-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\birdville-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/birdville-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/birdville-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\birdville-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/birdville-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/birdville-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\birdville-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/birdville-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/birdville-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
districts\birdville-isd\leadership-directory.html,https://www.texasspecialed.com/districts/birdville-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/birdville-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\brownsville-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/brownsville-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/brownsville-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\brownsville-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/brownsville-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/brownsville-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\brownsville-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/brownsville-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/brownsville-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
districts\brownsville-isd\leadership-directory.html,https://www.texasspecialed.com/districts/brownsville-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/brownsville-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\bryan-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/bryan-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/bryan-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\bryan-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/bryan-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/bryan-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\bryan-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/bryan-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/bryan-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
districts\bryan-isd\leadership-directory.html,https://www.texasspecialed.com/districts/bryan-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/bryan-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\burleson-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/burleson-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/burleson-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\burleson-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/burleson-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/burleson-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\burleson-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/burleson-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/burleson-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
